pcode,region,zone,woreda_name,report
ET030606,Amhara,East Gojam,Enemay,1
ET030603,Amhara,East Gojam,Goncha Siso Enebse,1
ET030620,Amhara,East Gojam,Gundwoin town,1
ET030610,Amhara,East Gojam,Guzamn,1
ET030602,Amhara,East Gojam,Hulet Ej Enese,1
ET030622,Amhara,East Gojam,Lumame town,1
ET030623,Amhara,East Gojam,Merto Lemariyam town,1
ET030609,Amhara,East Gojam,Michakel,1
ET030694,Amhara,East Gojam,Mota town,1
ET030619,Amhara,East Gojam,Sedae,1
ET030616,Amhara,East Gojam,Senan,1
ET030614,Amhara,East Gojam,Shebel Bernta,1
ET031309,Amhara,North Gojam,Adete town,1
ET031310,Amhara,North Gojam,Bahir Dar Zuria,1
ET031305,Amhara,North Gojam,Debub Achefer,1
ET031306,Amhara,North Gojam,Debub Mecha,1
ET031308,Amhara,North Gojam,Dure Bete,1
ET031307,Amhara,North Gojam,Gonje,1
ET031304,Amhara,North Gojam,Mecha,1
ET031302,Amhara,North Gojam,Merawi town,1
ET031301,Amhara,North Gojam,Semen Achefer,1
ET031303,Amhara,North Gojam,Yilmana Densa,1
ET030101,Amhara,North Gondar,Addi Arekay,1
ET030102,Amhara,North Gondar,Beyeda,1
ET030105,Amhara,North Gondar,Dabat,1
ET030106,Amhara,North Gondar,Dabat town,1
ET030104,Amhara,North Gondar,Debark,1
ET030198,Amhara,North Gondar,Debark town,1
ET030103,Amhara,North Gondar,Janamora,1
ET030119,Amhara,North Gondar,Telemt,1
ET030599,Amhara,North Shewa (AM),Aleme Ketma town,1
ET030513,Amhara,North Shewa (AM),Angolelana Tera,1
ET030515,Amhara,North Shewa (AM),Ankober,1
ET030507,Amhara,North Shewa (AM),Antsokiya,1
ET030525,Amhara,North Shewa (AM),Arerti town,1
ET030514,Amhara,North Shewa (AM),Assagirt,1
ET030598,Amhara,North Shewa (AM),Ataye town,1
ET030519,Amhara,North Shewa (AM),Basona Worena,1
ET030517,Amhara,North Shewa (AM),Berehet,1
ET030520,Amhara,North Shewa (AM),Debre Berhan town,1
ET030527,Amhara,North Shewa (AM),Debre Sina town,1
ET030508,Amhara,North Shewa (AM),Eferatana Gidem,1
ET030528,Amhara,North Shewa (AM),Enewari town,1
ET030503,Amhara,North Shewa (AM),Ensaro,1
ET030506,Amhara,North Shewa (AM),Gishe Rabel,1
ET030516,Amhara,North Shewa (AM),Hagere Mariam,1
ET030512,Amhara,North Shewa (AM),Kewet,1
ET030597,Amhara,North Shewa (AM),Mehal Meda town,1
ET030505,Amhara,North Shewa (AM),Menze Gera Midir,1
ET030521,Amhara,North Shewa (AM),Menze Keya Gabriel,1
ET030522,Amhara,North Shewa (AM),Menze Lalo Midir,1
ET030509,Amhara,North Shewa (AM),Menze Mama Midir,1
ET030502,Amhara,North Shewa (AM),Merhabete,1
ET030501,Amhara,North Shewa (AM),Mida Woremo,1
ET030518,Amhara,North Shewa (AM),Minjar Shenkora,1
ET030511,Amhara,North Shewa (AM),Mojan Wedera,1
ET030526,Amhara,North Shewa (AM),Molale town,1
ET030504,Amhara,North Shewa (AM),Moretna Jiru,1
